Status,Total_Number_Outrage_Events,Month,Year
Approved,191,1,2016
Approved,227,2,2016
Approved,136,3,2016
Approved,135,4,2016
Approved,173,5,2016
Approved,169,6,2016
Approved,146,7,2016
Approved,194,8,2016
Approved,124,9,2016
Approved,124,10,2016
Approved,200,11,2016
Approved,112,12,2016
Approved,103,1,2017
Approved,150,2,2017
Approved,109,3,2017
Approved,127,4,2017
Approved,170,5,2017
Approved,200,6,2017
Approved,211,7,2017
Approved,212,8,2017
Approved,168,9,2017
Approved,276,10,2017
Approved,198,11,2017
Approved,247,12,2017
