Total_Number_Outage_Events,Participant_Code,Status,Year
298,AURICON,Approved,2016
209,AUXC,Approved,2016
53,COLLGAR,Approved,2016
12,DNHR,Approved,2016
69,ENRG,Approved,2016
28,EUCT,Approved,2016
402,GW,Approved,2016
87,KORL,Approved,2016
4,MCG,Approved,2016
273,MELK,Approved,2016
30,MUND,Approved,2016
142,PJRH,Approved,2016
107,PMC,Approved,2016
47,PUG,Approved,2016
35,STHRNCRS,Approved,2016
71,TRMOS,Approved,2016
55,TSLA_MGT,Approved,2016
9,WGUTD,Approved,2016
577,AURICON,Approved,2017
122,AUXC,Approved,2017
64,COLLGAR,Approved,2017
13,DNHR,Approved,2017
54,ENRG,Approved,2017
17,EUCT,Approved,2017
270,GW,Approved,2017
108,KORL,Approved,2017
18,MCG,Approved,2017
263,MELK,Approved,2017
31,MUND,Approved,2017
146,PJRH,Approved,2017
61,PMC,Approved,2017
149,PUG,Approved,2017
35,STHRNCRS,Approved,2017
176,TRMOS,Approved,2017
55,TSLA_MGT,Approved,2017
12,WGUTD,Approved,2017
