Participant_Code,Status,Year,Avg_Outage_MW_Loss,Average_Outage_Duration_Time_Minutes
COLLGAR,Approved,2016,149.00,581.38
PMC,Approved,2016,131.78,467.39
MELK,Approved,2016,87.71,404.14
TSLA_MGT,Approved,2016,80.00,360.00
KORL,Approved,2016,76.23,485.66
PJRH,Approved,2016,72.61,439.26
ENRG,Approved,2016,56.32,22622.86
MCG,Approved,2016,55.00,1860.00
AURICON,Approved,2016,51.42,101.97
GW,Approved,2016,49.69,374.67
MUND,Approved,2016,36.80,712.50
PUG,Approved,2016,33.98,1330.00
WGUTD,Approved,2016,27.00,30.00
STHRNCRS,Approved,2016,23.00,475.38
TRMOS,Approved,2016,18.96,259.38
AUXC,Approved,2016,13.27,112.14
EUCT,Approved,2016,5.89,14042.73
DNHR,Approved,2016,1.44,570.00
PMC,Approved,2017,141.21,42.75
GW,Approved,2017,85.14,1265.95
PJRH,Approved,2017,67.21,634.17
COLLGAR,Approved,2017,61.93,1416.67
KORL,Approved,2017,61.57,798.16
MELK,Approved,2017,58.11,6946.61
MCG,Approved,2017,46.94,327.50
AURICON,Approved,2017,44.16,111.73
TSLA_MGT,Approved,2017,42.47,442.50
PUG,Approved,2017,30.46,262.44
TRMOS,Approved,2017,29.17,53.90
WGUTD,Approved,2017,27.66,840.00
ENRG,Approved,2017,27.41,6038.57
MUND,Approved,2017,26.57,274.00
EUCT,Approved,2017,21.60,50.00
STHRNCRS,Approved,2017,16.26,308.33
AUXC,Approved,2017,14.74,19.75
DNHR,Approved,2017,1.44,690.00
